year,num,name
2016,3660,Harrison
2017,3511,Harrison
2019,3451,Harrison
2018,3398,Harrison
2015,3333,Harrison
2020,3202,Harrison
2014,3200,Harrison
2021,3128,Harrison
2013,2502,Harrison
2012,2113,Harrison
2000,1962,Harrison
1999,1913,Harrison
1998,1890,Harrison
2002,1836,Harrison
2011,1819,Harrison
1997,1813,Harrison
2001,1784,Harrison
2008,1728,Harrison
2004,1716,Harrison
2005,1694,Harrison
2003,1679,Harrison
2007,1640,Harrison
2006,1547,Harrison
2010,1475,Harrison
1996,1465,Harrison
2009,1442,Harrison
1995,1340,Harrison
1994,1310,Harrison
1993,1000,Harrison
1992,985,Harrison
1991,962,Harrison
