,phrase,sentiment,score
0,no one ever predicted this was going to happen. #sarcasm https://t.co/eeJsozDYKc,figurative,-0.6999999881
1,@Stooshie its as closely related as Andrews original claim that evolution and entropy #sarcasm,figurative,-0.8000000119
2,I find it ironic when Vegans say they love food #Irony,figurative,-0.400000006
3,Quick rt that throwing money vine I've not seen it 30 times in the last 30 seconds #sarcasm,figurative,-0.6999999881
4,"yep, keep adding me to your #devops lists.... #justsaying #infosec #irony",figurative,0
5,wonderful time with customer service @TMobile  #sarcasm can't add line w loyalty plan. Rep couldn't even explain data plan options to me,figurative,-0.6000000238
6,@RalphtheBold: But ... football. #sarcasm,figurative,-0.400000006
7,So last month I lost my job and today my dad lost his. 2015 is such a great year... #sarcasm,figurative,-0.8000000119
8,"Rahm has solved crime, budget &amp; pension issues, thus he's in France's to work on trade... @RahmTruthTeam @PeterNickeas #sarcasm",figurative,-0.1000000015
9,And the heel on my @katespadeny shoe just broke. I love when I buy expensive shoes and they don't last #sarcasm,figurative,-0.5
10,This girl can't wait to shop on Michigan Ave. #sarcasm #hateshopping,figurative,0
11,That shitty feeling we all love so much 😊 #sarcasm,figurative,-0.6000000238
12,@Nola2016 ...says the person typing in shorthand and emoji. #irony @philoverdrunk @Roze11e @TakeThatDarwin,figurative,-0.5
13,Crowded hallways are the loneliest places #irony,figurative,-0.8000000119
14,@dorkiesaurus I remember when I lived in Downtown Toronto... such an interesting place. #sarcasm,figurative,0
15,I'll go for @NazranaYusufzai to say that. #sarcasm https://t.co/ppPjVLEyNv,figurative,-0.400000006
16,oh wait are you even in this episode? #ironic,figurative,-0.5
17,"@theandyboyd You say, via twitter. #irony",figurative,-0.5
18,"Maybe it's just me, but I'm sure that's not six words....😝 #irony #typicalteacher https://t.co/oOHfP7LORt",figurative,-0.5
19,#Ironic that I just tweeted about them https://t.co/EM1kLZ5SDP,figurative,0.200000003
20,@MarkMaddenX but moving the coaches from 1st to 3rd and 3rd to 1st is really working out though. #sarcasm,figurative,-0.200000003
21,I just love getting anxiety at random times. Its fun! #sarcasm,figurative,0.3000000119
22,@SpencerJCox last tweet was hashtag #irony,figurative,-0.6999999881
23,To Liberals who care so much about Corporations and profits #ppsellsbabyparts and are funded by the United States Government #Irony,figurative,0.1000000015
24,@HOT97 it's pretty obvious @MeekMill mad he's not getting credit for ghostwriting drakes verse 😂 #sarcasm,figurative,-0.8000000119
25,@JessieJ should really go to sleep love catching the bus to school in the morning 😎😣😴 #sarcasm,figurative,-0.6999999881
26,@cjwerleman surprisingly those with brains can't use them! #irony,figurative,-0.6999999881
27,"@MetroUK Lol, clicked on this and it's surrounded by @McDonalds ads #Ironic",figurative,-0.6000000238
28,Gotta let u in on what u missed out on #irony 😊😊😊💯,figurative,0
29,"@sexysportsfan Pretty sure I was hating on ESPN, but whatever. You sure showed me! It burns! It burns! #sarcasm",figurative,-0.400000006
30,Pencils for Pencils! http://t.co/ACl3MsrTxi via @Etsy #pencils #cottonandsteel #irony #handmadelove #etsy #backtoschool,figurative,0
31,Changing my band name to Secrets &amp; Overalls. Because that's the best thing I've ever thought of in my life. #sarcasm #orisit #veryserious,figurative,0
32,"I'm preeeeetttyyy sure that ""Respect the Red Light"" is about traffic laws. #bikesafety #visionzero #irony #whatever http://t.co/pzScuV3SKv",figurative,-0.5
33,It's really great that pointless feuding between celebs gets more attention than things that actually matter. #RealLife #bullshit #sarcasm,figurative,0
34,@IndiaExplained so u support to those people who wave Pakistan flag in India. #irony,figurative,-0.3000000119
35,One time for #insomnia Yay! #sarcasm,figurative,0
36,@Deadline @khloekardashian @FYI #Irony this family is famous because one of them got a cock in her tail! Oh and that murder trial!,figurative,-0.5
37,"@Helen_Wood86 watch gypsy sisters on TLC , best ever 😂😂😂 #youshouldbeonit #sarcasm #loveyou",figurative,-0.5
38,"@DSwizzle17 Yeah in 86 the best Celtics team of all-time won the title. Although led by an Indiana man, Larry Bird. #irony",figurative,0
39,@StacyLemongelli @AFTNJ @apurelistener @LarrBello @PAF_AFT @AFTunion thought @GovChristie was dropping #ccs but keeping @PARCCPlace #irony,figurative,-0.6000000238
40,Shows how out of touch the BBC are. They had John McTernan on talking about the way forward for @UKLabour &amp; why they are rubbish. #Irony,figurative,-0.200000003
41,@KatieOnViolin This is going to be awesome after Giants games. #sarcasm,figurative,0
42,No big deal. In forty years time everybody will be striking nuclear deals with them and opening embassies #Sarcasm https://t.co/Uldz8JRK7c,figurative,0.1000000015
43,The party is not national but the spokesperson is national.. #Irony @vinaymangal @freentglty @swamimehrahere  https://t.co/Yw1jMCLPD2,figurative,0
44,@roseperson @picardonhealth @RawStory because a well armed surfer could have shot that shark!!  #sarcasm,figurative,-0.6999999881
45,Trying to figure out how to get to AMS for Sail Amsterdam. Ticket prices are ONLY $1500 #sarcasm,figurative,-0.400000006
46,I am literally so sunburnt...and regretting not untying my bathing suit top yesterday. #nicetanlines #sarcasm,figurative,-0.6999999881
